"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_031811",1730,1752,1496,2242,2942,2910,2848,1654,1648
"NM_001033691",780,1539,523,673,1538,1172,1180,384,419
"NM_001015024",57,42,56,60,162,104,150,63,28
"NM_181480",661,308,540,656,522,453,537,681,389
"NM_001106319",1758,1258,1644,1703,1220,1271,1282,1880,653
"NM_133440",0,0,0,0,0,0,0,0,0
"NM_133441",0,0,0,0,0,0,0,0,2
"NM_001177828",0,0,0,2,0,0,0,0,0
"NM_001107564",40,49,36,59,80,30,40,38,30
"NM_001004133",0,0,0,0,0,0,0,0,0
"NM_001108512",1004,1083,787,1004,790,698,829,1053,1149
"NM_001106321",2096,1390,1748,2572,2079,2618,2482,2102,1923
"NM_001287134",3000,2380,2474,3023,1996,2088,2212,3084,3520
"NM_001006998",52,20,25,32,125,114,114,30,36
"NM_001108515",2480,2236,1982,2744,2621,2019,2344,2286,2670
"NM_019167",2154,2291,3465,3758,1516,1555,1548,2243,1730
"NM_172327",429,407,470,422,403,389,397,372,467
"NM_133424",6,21,28,21,14,6,20,10,6
"NM_134406",186,93,101,153,232,160,202,148,151
"NM_001108516",957,831,711,879,1086,920,1073,932,1049
"NM_001008305",595,1003,687,653,673,600,557,723,591
"NM_053610",3948,4174,4758,4616,3227,3560,2690,3815,4407
"NM_001082977",136,127,111,185,212,131,164,128,127
"NM_001034943",3,0,1,10,3,6,4,21,6
"NM_001011939",2645,1687,1298,2020,2286,2132,2514,2524,2318
"NM_139337",1277,703,960,1042,397,488,376,1003,1048
"NM_021699",398,511,454,511,514,471,560,449,434
"NM_001109161",164,201,179,154,294,151,229,137,218
"NM_001039007",2,6,0,2,14,14,22,4,0
"NM_134379",3433,1438,1961,915,1750,1674,2327,2671,3381
"NM_138908",85,73,197,200,30,39,26,96,74
"NM_001191951",469,1060,586,1108,2259,1473,1794,412,412
"NM_031704",1129,976,789,1144,830,907,928,969,1155
"NM_001168661",304,174,210,226,194,172,170,246,274
"NM_001106335",79,50,44,96,356,251,376,60,46
"NM_001008371",1007,1051,1394,1299,846,957,882,942,1149
"NM_031124",56,94,67,45,221,136,183,58,65
"NM_001108927",1935,2082,1933,2797,2139,1908,2139,1969,2313
"NM_001169120",2468,2310,2347,2331,2205,2192,2275,2354,2841
"NM_001000760",0,0,0,0,0,0,0,0,0
